;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2020;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: Mayo de 2021;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las Instituciones de Educación Superior a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter IES;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Año;Semestre;Auxiliar;Técnico;Profesional;Directivo;Total
1219;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;05;Antioquia;05148;El Carmen de Viboral;2020;2;5;0;2;1;8
1220;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;05;Antioquia;05034;Andes;2020;1;1;0;1;1;3
1220;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;05;Antioquia;05034;Andes;2020;2;1;0;1;1;3
1221;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;05;Antioquia;05154;Caucasia;2020;1;3;1;2;1;7
1221;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;05;Antioquia;05154;Caucasia;2020;2;3;1;2;1;7
1222;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;05;Antioquia;05579;Puerto Berrío;2020;1;1;0;1;1;3
1222;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;05;Antioquia;05579;Puerto Berrío;2020;2;1;0;1;1;3
1223;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;05;Antioquia;05837;Turbo;2020;1;2;0;1;1;4
1223;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;05;Antioquia;05837;Turbo;2020;2;2;0;1;1;4
1301;1301;UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS;Principal;1;OFICIAL;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;1;18;32;34;1;85
1301;1301;UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS;Principal;1;OFICIAL;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;2;19;27;30;3;79
1701;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;1;807;233;877;37;1954
1701;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;2;790;230;927;39;1986
1702;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;Seccional;2;PRIVADA;4;Universidad;76;Valle del Cauca;76001;Cali;2020;1;25;388;278;85;776
1702;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;Seccional;2;PRIVADA;4;Universidad;76;Valle del Cauca;76001;Cali;2020;2;25;372;281;85;763
1704;1704;UNIVERSIDAD SANTO TOMAS;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;1;231;169;185;174;759
1704;1704;UNIVERSIDAD SANTO TOMAS;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;2;218;164;154;196;732
1705;1704;UNIVERSIDAD SANTO TOMAS;Seccional;2;PRIVADA;4;Universidad;68;Santander;68001;Bucaramanga;2020;1;350;15;103;49;517
1705;1704;UNIVERSIDAD SANTO TOMAS;Seccional;2;PRIVADA;4;Universidad;68;Santander;68001;Bucaramanga;2020;2;350;15;103;49;517
1706;1706;UNIVERSIDAD EXTERNADO DE COLOMBIA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;1;287;89;427;57;860
1706;1706;UNIVERSIDAD EXTERNADO DE COLOMBIA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;2;285;86;420;55;846
1707;1707;FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;1;0;170;226;46;442
1707;1707;FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;2;0;170;226;46;442
1708;1707;FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;Seccional;2;PRIVADA;4;Universidad;13;Bolívar;13001;Cartagena de Indias;2020;1;0;170;226;46;442
1709;1709;UNIVERSIDAD CENTRAL;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;1;205;98;189;26;518
1709;1709;UNIVERSIDAD CENTRAL;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;2;181;82;197;56;516
1710;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Principal;2;PRIVADA;4;Universidad;05;Antioquia;05001;Medellín;2020;1;124;157;404;123;808
1710;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Principal;2;PRIVADA;4;Universidad;05;Antioquia;05001;Medellín;2020;2;98;143;365;121;727
1711;1711;UNIVERSIDAD DE LA SABANA;Principal;2;PRIVADA;4;Universidad;25;Cundinamarca;25175;Chía;2020;1;419;288;456;88;1251
1711;1711;UNIVERSIDAD DE LA SABANA;Principal;2;PRIVADA;4;Universidad;25;Cundinamarca;25175;Chía;2020;2;419;288;456;88;1251
1712;1712;UNIVERSIDAD EAFIT-;Principal;2;PRIVADA;4;Universidad;05;Antioquia;05001;Medellín;2020;1;355;46;1407;346;2154
1712;1712;UNIVERSIDAD EAFIT-;Principal;2;PRIVADA;4;Universidad;05;Antioquia;05001;Medellín;2020;2;356;47;1407;348;2158
1713;1713;UNIVERSIDAD DEL NORTE;Principal;2;PRIVADA;4;Universidad;08;Atlántico;08001;Barranquilla;2020;1;415;163;474;40;1092
1713;1713;UNIVERSIDAD DEL NORTE;Principal;2;PRIVADA;4;Universidad;08;Atlántico;08001;Barranquilla;2020;2;415;163;474;40;1092
1714;1714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;1;125;150;125;41;441
1714;1714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;2;258;311;259;85;913
1715;1715;FUNDACION UNIVERSIDAD DE AMERICA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;1;15;45;41;23;124
1715;1715;FUNDACION UNIVERSIDAD DE AMERICA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;2;9;17;43;26;95
1716;1718;UNIVERSIDAD DE SAN BUENAVENTURA;Seccional;2;PRIVADA;4;Universidad;76;Valle del Cauca;76001;Cali;2020;1;77;140;47;11;275
1716;1718;UNIVERSIDAD DE SAN BUENAVENTURA;Seccional;2;PRIVADA;4;Universidad;76;Valle del Cauca;76001;Cali;2020;2;77;139;48;11;275
1717;1718;UNIVERSIDAD DE SAN BUENAVENTURA;Seccional;2;PRIVADA;4;Universidad;05;Antioquia;05001;Medellín;2020;1;104;7;69;25;205
1717;1718;UNIVERSIDAD DE SAN BUENAVENTURA;Seccional;2;PRIVADA;4;Universidad;05;Antioquia;05001;Medellín;2020;2;92;6;66;26;190
1719;1719;UNIVERSIDAD CATOLICA DE COLOMBIA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;1;93;165;216;29;503
1719;1719;UNIVERSIDAD CATOLICA DE COLOMBIA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;2;89;152;209;29;479
1720;1720;UNIVERSIDAD MARIANA;Principal;2;PRIVADA;4;Universidad;52;Nariño;52001;Pasto;2020;1;168;22;38;9;237
1720;1720;UNIVERSIDAD MARIANA;Principal;2;PRIVADA;4;Universidad;52;Nariño;52001;Pasto;2020;2;167;22;38;9;236
1722;1722;UNIVERSIDAD DE MANIZALES;Principal;2;PRIVADA;4;Universidad;17;Caldas;17001;Manizales;2020;1;31;84;87;26;228
1722;1722;UNIVERSIDAD DE MANIZALES;Principal;2;PRIVADA;4;Universidad;17;Caldas;17001;Manizales;2020;2;31;84;87;27;229
