"codigo.de..la.institucion","ies.padre","institucion.de.educacion.superior..ies.","principal..o.seccional","id.sector.ies","sector.ies","id.caracter.ies","caracter.ies","codigo.del..departamento..ies.","departamento.de..domicilio.de.la.ies","codigo.del..municipio..ies.","municipio.de.domicilio.de.la.ies","ano","semestre","auxiliar","servicios.tecnicos","profesional","directivo","total"
2905,2905,"centro de educacion militar - cemil","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
9918,9918,"institucion universitaria conocimiento e innovacion para la justicia - cij","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",25,"cundinamarca",25214,"cota",2014,1,0,0,0,0,0
2817,2817,"corporacion universitaria de ibague-coruniversitaria","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",73,"tolima",73001,"ibague",2014,1,0,0,0,0,0
2819,2819,"corporacion universitaria de ciencias aplicadas y ambientales udca","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
3723,3723,"fundacion eurocolombiana de educacion superior - eurocol","principal",2,"privada",3,"institucion tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
9905,9905,"fundacion escuela tecnologica de neiva - jesus oviedo perez -fet","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",41,"huila",41001,"neiva",2014,1,5,5,5,9,24
9903,9903,"corporacion de educacion tecnologica colsubsidio eads","principal",2,"privada",3,"institucion tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,7,0,6,8,21
9906,9906,"corporacion universitaria para el desarrollo empresarial y social- cudes","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",76,"valle del cauca",76001,"cali",2014,1,0,0,0,0,0
9900,9900,"corporacion universitaria de ciencia y tecnologia de colombia","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",5,"antioquia",5001,"medellin",2014,1,3,0,1,4,8
9899,9899,"institucion universitaria de colombia - universitaria de colombia","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,13,2,1,11,27
