"codigo.del..municipio..ies.","codigo.del..departamento..ies.","id.caracter.ies","ies.padre","codigo.de..la.institucion","institucion.de.educacion.superior..ies.","principal..o.seccional","id.sector.ies","sector.ies","caracter.ies","departamento.de..domicilio.de.la.ies","municipio.de.domicilio.de.la.ies","ano","semestre","auxiliar","servicios.tecnicos","profesional","directivo","total"
5001,5,3,3204,3204,"tecnologico de antioquia","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,1,43,8,29,14,94
5001,5,3,2749,2749,"institucion universitaria  salazar y herrera","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2021,1,19,6,40,7,72
5001,5,3,1712,1712,"universidad eafit-","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,2,0,0,0,0,0
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,2,0,0,0,2
5001,5,3,3204,3204,"tecnologico de antioquia","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,2,45,8,28,13,94
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,1,18,4,16,3,41
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,1,13,2,5,9,29
5001,5,4,1710,1710,"universidad pontificia bolivariana","principal",2,"privada","universidad","antioquia","medellin",2021,2,337,93,253,100,783
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2017,1,58,2,10,5,75
5001,5,2,3807,3807,"escuela de tecnologias de antioquia -eta-","principal",2,"privada","institucion tecnologica","antioquia","medellin",2019,1,0,2,26,1,29
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,2,56,1,10,5,72
5001,5,4,1101,1102,"universidad nacional de colombia","seccional",1,"oficial","universidad","antioquia","medellin",2019,2,92,358,81,54,585
5001,5,3,3807,3807,"escuela de tecnologias de antioquia -eta-","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,2,2,1,1,2,6
5001,5,4,1712,1712,"universidad eafit-","principal",2,"privada","universidad","antioquia","medellin",2021,1,410,48,1507,354,2319
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2020,1,6,4,10,9,29
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2019,2,1,0,3,1,5
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,2,11,7,8,5,31
5001,5,4,1712,1712,"universidad eafit-","principal",2,"privada","universidad","antioquia","medellin",2019,1,588,112,740,42,1482
5001,5,3,2209,2209,"politecnico colombiano jaime isaza cadavid","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,2,158,28,99,25,310
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,2,2,0,0,2,4
5001,5,4,1712,1712,"universidad eafit-","principal",2,"privada","universidad","antioquia","medellin",2018,2,588,112,643,35,1378
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2017,1,1,0,3,2,6
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,2,1,0,0,1,2
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,2,3,0,0,1,4
5001,5,3,2838,2838,"corporacion colegiatura colombiana","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,2,18,19,64,6,107
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2019,1,0,0,1,1,2
