;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2018;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: Junio de 2019;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las Instituciones de Educación Superior a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
"Código de 
la Institución";IES PADRE;Institución de Educación Superior (IES);"Principal
 o 
Seccional";ID Sector IES;Sector IES;ID Caracter IES;Caracter IES;"Código del 
departamento
(IES)";"Departamento de 
domicilio de la IES";"Código del 
Municipio
(IES)";"Municipio de
domicilio de la IES";Año;Semestre;Auxiliar;Tecnico;Profesional;Directivo;Total
1724;1718;UNIVERSIDAD DE SAN BUENAVENTURA;SECCIONAL;2;PRIVADA;4;Universidad;13;BOLIVAR;13001;CARTAGENA;2018;2;74;35;24;28;161
1726;1726;UNIVERSIDAD CATOLICA DE ORIENTE -UCO;PRINCIPAL;2;PRIVADA;4;Universidad;5;ANTIOQUIA;5615;RIONEGRO;2018;1;134;69;344;37;584
1726;1726;UNIVERSIDAD CATOLICA DE ORIENTE -UCO;PRINCIPAL;2;PRIVADA;4;Universidad;5;ANTIOQUIA;5615;RIONEGRO;2018;2;139;71;422;34;666
1727;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;SECCIONAL;2;PRIVADA;4;Universidad;23;CORDOBA;23001;MONTERIA;2018;1;29;65;50;25;169
1728;1728;UNIVERSIDAD SERGIO ARBOLEDA;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;194;148;189;89;620
1728;1728;UNIVERSIDAD SERGIO ARBOLEDA;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;2;200;140;196;97;633
1729;1729;UNIVERSIDAD EL BOSQUE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;120;273;144;0;537
1729;1729;UNIVERSIDAD EL BOSQUE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;2;171;279;161;0;611
1730;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;SECCIONAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76520;PALMIRA;2018;1;11;29;23;5;68
1730;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;SECCIONAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76520;PALMIRA;2018;2;11;26;31;5;73
