;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2019;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: Junio de 2019;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las Instituciones de Educación Superior a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
"Código de 
la Institución";IES PADRE;Institución de Educación Superior (IES);"Principal
 o 
Seccional";ID Sector IES;Sector IES;ID Caracter IES;Caracter IES;"Código del 
departamento
(IES)";"Departamento de 
domicilio de la IES";"Código del 
Municipio
(IES)";"Municipio de
domicilio de la IES";Año;Semestre;Auxiliar;Técnico;Profesional;Directivo;Total
1825;1825;UNIVERSIDAD AUTONOMA DE MANIZALES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;17;CALDAS;17001;MANIZALES;2019;1;97;28;91;5;221
1204;1204;UNIVERSIDAD INDUSTRIAL DE SANTANDER;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;1;481;153;534;99;1267
2812;2812;UNIVERSIDAD EAN;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;1;2;206;165;14;387
2848;2848;CORPORACION UNIVERSITARIA  UNITEC;PRINCIPAL;2;PRIVADA;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;1;15;34;50;27;126
4709;4709;INSTITUCION UNIVERSITARIA EAM;PRINCIPAL;2;PRIVADA;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;63;QUINDÍO;63001;ARMENIA;2019;1;15;21;30;21;87
1719;1719;UNIVERSIDAD CATOLICA DE COLOMBIA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;1;92;169;219;25;505
1830;1830;UNIVERSIDAD AUTONOMA DE OCCIDENTE;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76001;CALI;2019;1;0;15;18;1;34
3715;3715;FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO;PRINCIPAL;2;PRIVADA;2;INSTITUCIÓN TECNOLÓGICA;76;VALLE DEL CAUCA;76001;CALI;2019;1;9;29;64;5;107
2850;2850;CORPORACION UNIVERSITARIA ANTONIO JOSE DE SUCRE - CORPOSUCRE;PRINCIPAL;2;PRIVADA;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;70;SUCRE;70001;SINCELEJO;2019;1;78;0;73;12;163
1833;1833;UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;23;CÓRDOBA;23001;MONTERÍA;2019;1;229;6;116;9;360
